,0,1
0,avg_raise_usd,0.5676008919528579
1,funding_rounds,0.41907065322523007
2,float_avg_time_bw_rounds,0.27008047267553387
3,USA,0.22517531680538172
4,CA,0.1901767539088524
5,CAN,0.14673596505291264
6,ISR,0.1058227207532703
7,MA,0.09220111027026075
8,Software,0.0867936464867927
9,Enterprise Software,0.08606596854751375
10,NY,0.0801467256606052
11,Security,0.07985757274372396
12,Biotechnology,-0.07951925575839278
13,float_time_bw_first_rounds,-0.10144552563195222
14,Manufacturing,-0.10354471035901681
15,RUS,-0.11495597493179123
16,Clean Technology,-0.12026705274116538
17,CHN,-0.12404294056174274
18,unknown_x,-0.15195042910419948
